disease,metric,method,n_pairs,method_mean,RWR_mean,mean_increase_over_RWR,t_statistic,p_value,significance
alzheimer disease,AP@300,QA0,2,0.0,0.0008403361344537815,-0.0008403361344537815,-1.0,0.49999999999999956,ns
alzheimer disease,AP@300,QA1,2,0.0,0.0008403361344537815,-0.0008403361344537815,-1.0,0.49999999999999956,ns
alzheimer disease,AP@300,QA*,2,0.00046992481203007516,0.0008403361344537815,-0.0003704113224237063,-1.0,0.49999999999999956,ns
alzheimer disease,AP@300,DIAMOND,2,0.002551020408163265,0.0008403361344537815,0.0017106842737094835,1.0,0.49999999999999956,ns
alzheimer disease,AP@300,GCN,2,0.008761080189651618,0.0008403361344537815,0.007920744055197836,1.0,0.49999999999999956,ns
alzheimer disease,Recall@25,rNBR,2,0.07142857142857142,0.0,0.07142857142857142,1.0,0.49999999999999956,ns
alzheimer disease,Recall@25,RWR,2,0.07142857142857142,0.0,0.07142857142857142,1.0,0.49999999999999956,ns
alzheimer disease,Recall@25,DK,2,0.07142857142857142,0.0,0.07142857142857142,1.0,0.49999999999999956,ns
alzheimer disease,Recall@25,DK*,2,0.07142857142857142,0.0,0.07142857142857142,1.0,0.49999999999999956,ns
alzheimer disease,Recall@25,QA0,2,0.0,0.0,0.0,0.0,1.0,ns
alzheimer disease,Recall@25,QA1,2,0.0,0.0,0.0,0.0,1.0,ns
alzheimer disease,Recall@25,QA*,2,0.0,0.0,0.0,0.0,1.0,ns
alzheimer disease,Recall@25,DIAMOND,2,0.0,0.0,0.0,0.0,1.0,ns
alzheimer disease,Recall@25,GCN,2,0.07142857142857142,0.0,0.07142857142857142,1.0,0.49999999999999956,ns
alzheimer disease,Recall@300,rNBR,2,0.21428571428571427,0.07142857142857142,0.14285714285714285,inf,0.0,***
alzheimer disease,Recall@300,RWR,2,0.21428571428571427,0.07142857142857142,0.14285714285714285,inf,0.0,***
alzheimer disease,Recall@300,DK,2,0.07142857142857142,0.07142857142857142,0.0,0.0,1.0,ns
alzheimer disease,Recall@300,DK*,2,0.07142857142857142,0.07142857142857142,0.0,0.0,1.0,ns
alzheimer disease,Recall@300,QA0,2,0.0,0.07142857142857142,-0.07142857142857142,-1.0,0.49999999999999956,ns
alzheimer disease,Recall@300,QA1,2,0.0,0.07142857142857142,-0.07142857142857142,-1.0,0.49999999999999956,ns
alzheimer disease,Recall@300,QA*,2,0.07142857142857142,0.07142857142857142,0.0,0.0,1.0,ns
alzheimer disease,Recall@300,DIAMOND,2,0.07142857142857142,0.07142857142857142,0.0,0.0,1.0,ns
alzheimer disease,Recall@300,GCN,2,0.14285714285714285,0.07142857142857142,0.07142857142857142,1.0,0.49999999999999956,ns
amino acid metabolism inborn errors,AP@25,rNBR,2,0.024999780920833554,0.0016722408026755853,0.023327540118157967,2.47569981126754,0.24438969633615326,ns
amino acid metabolism inborn errors,AP@25,RWR,2,0.057692307692307696,0.0016722408026755853,0.05602006688963211,3.1904761904761902,0.193363379237292,ns
amino acid metabolism inborn errors,AP@25,DK,2,0.06677350427350427,0.0016722408026755853,0.06510126347082869,3.8240109140518417,0.16283316725759467,ns
amino acid metabolism inborn errors,AP@25,DK*,2,0.07275641025641025,0.0016722408026755853,0.07108416945373466,5.574863387978142,0.11299302587145901,ns
amino acid metabolism inborn errors,AP@25,QA0,2,0.06076923076923077,0.0016722408026755853,0.059096989966555186,4.08083140877598,0.15298778610742195,ns
amino acid metabolism inborn errors,AP@25,QA1,2,0.07484182484182483,0.0016722408026755853,0.07316958403914925,5.530779753761968,0.1138746328240349,ns
amino acid metabolism inborn errors,AP@25,QA*,2,0.09994172494172494,0.0016722408026755853,0.09826948413904936,8.27854855923159,0.07652914556394838,ns
amino acid metabolism inborn errors,AP@25,DIAMOND,2,0.0019230769230769232,0.0016722408026755853,0.00025083612040133793,0.06976744186046516,0.9556565211285579,ns
amino acid metabolism inborn errors,AP@25,GCN,2,0.04326923076923077,0.0016722408026755853,0.041596989966555184,13.26666666666666,0.047895842498005894,*
amino acid metabolism inborn errors,AP@300,rNBR,2,0.031229924158394644,0.01249928380129392,0.018730640357100724,1.4555604573402767,0.3832207397245376,ns
amino acid metabolism inborn errors,AP@300,RWR,2,0.07926829279252523,0.01249928380129392,0.06676900899123131,7.690098703295189,0.08232240151224174,ns
amino acid metabolism inborn errors,AP@300,DK,2,0.07604802544811262,0.01249928380129392,0.0635487416468187,9.58422446319477,0.06618423566929794,ns
amino acid metabolism inborn errors,AP@300,DK*,2,0.0793744380285401,0.01249928380129392,0.06687515422724619,12.33436279554894,0.0515008691479445,ns
amino acid metabolism inborn errors,AP@300,QA0,2,0.07520083250798539,0.01249928380129392,0.06270154870669147,9.709248903484697,0.06533800252436221,ns
